***************************
* A  Z          MASS       
 86 43# -53132.0    298.0  
 87 33# -56281.0    596.0  
 87 34  -66578.071   39.504
 87 35  -73853.071   18.318
 87 36  -80705.571    4.802
 87 37  -84592.904    2.588
 87 38  -84876.188    2.291
 87 39  -83014.582    2.667
 87 40  -79349.201    8.299
 87 41  -74180.201   60.571
 87 42  -67693.926  223.278
 87 43# -59122.0    298.0  
 88 33# -51642.0    699.0  
 88 34  -63873.667   49.528
 88 35  -70727.667   38.627
 88 36  -79687.667   14.001
 88 37  -82601.625    3.858
 88 38  -87917.499    2.294
 88 39  -84294.899    2.741
 88 40  -83625.129   10.240
 88 41# -76425.0    200.0  
 88 42  -72701.437   20.349
 88 43# -62568.0    298.0  
 89 34# -59597.0    401.0  
 89 35  -68562.546   59.925
 89 36  -76717.546   51.875
 89 37  -81703.429    6.630
 89 38  -86204.886    2.296
 89 39  -87701.528    2.389
 89 40  -84869.207    3.375
 89 41  -80579.290   35.554
 89 42  -75004.245   15.462
 89 43  -67494.245  210.568
 89 44# -59513.0    596.0  
 90 34# -56430.0    596.0  
 90 35  -64609.474   77.404
 90 36  -74959.474   19.141
 90 37  -79351.340    8.163
 90 38  -85941.128    2.772
 90 39  -86487.288    2.390
 90 40  -88769.304    2.206
 90 41  -82658.304    4.568
 90 42  -80169.304    6.072
 90 43# -71029.0    300.0  
 90 44# -65409.0    503.0  
 91 34# -50888.0    699.0  
 91 35  -61551.126   72.536
 91 36  -71353.126   57.109
 91 37  -77788.126    7.838
 91 38  -83649.183    7.008
 91 39  -86348.546    2.935
 91 40  -87892.569    2.186
 91 41  -86639.179    3.230
 91 42  -82205.415   12.402
 91 43  -75985.415  200.384
 91 44  -68580.335  500.037
 92 35  -56622.548   50.251
 92 36  -68827.452   14.237
 92 37  -74814.452   10.134
 92 38  -82919.703   11.152
 92 39  -84830.676    9.794
 92 40  -88456.006    2.179
 92 41  -86450.321    2.687
 92 42  -86806.348    3.750
 92 43  -78935.994   25.997
 92 44# -74408.0    298.0  
 92 45# -63360.0    401.0  
 93 35# -53002.0    298.0  
 93 36  -64101.988  100.755
 93 37  -72701.988   12.312
 93 38  -80161.947   13.810
 93 39  -84244.956   11.100
 93 40  -87118.839    2.178
 93 41  -87209.950    2.255
 93 42  -86804.734    3.750
 93 43  -83603.879    3.881
 93 44  -77266.879   85.089
 93 45# -69173.0    401.0  
 94 36# -61220.0    300.0  
 94 37  -68530.339   13.913
 94 38  -78837.005    7.242
 94 39  -82348.280    5.459
 94 40  -87267.555    2.380
 94 41  -86366.096    2.255
 94 42  -88411.203    1.839
 94 43  -84155.439    4.465
 94 44  -82562.546   12.790
 94 45# -72933.0    447.0  
 94 46# -66350.0    503.0  
 95 36# -56141.0    401.0  
 95 37  -65862.851   15.846
 95 38  -75158.879   12.821
 95 39  -81239.114    9.878
 95 40  -85658.867    2.367
 95 41  -86783.339    1.888
 95 42  -87708.940    1.838
 95 43  -86017.539    5.260
 95 44  -83445.078   11.922
 95 45  -78335.078  150.473
 95 46# -70151.0    401.0  
 96 36# -53263.0    596.0  
 96 37  -61226.899   19.155
 96 38  -72983.365   14.599
 96 39  -78354.626   12.596
 96 40  -85441.540    3.230
 96 41  -85605.079    3.690
 96 42  -88791.879    1.838
 96 43  -85818.644    5.463
 96 44  -86066.721    7.974
 96 45  -79620.289   12.708
 96 46  -76170.289  150.537
 96 47# -64571.0    503.0  
 97 37  -58375.181   22.880
 97 38  -68795.252   18.028
 97 39  -76261.984   10.713
 97 40  -82949.768    3.096
 97 41  -85607.829    2.616
 97 42  -87541.690    1.836
 97 43  -87221.436    4.506
 97 44  -86106.901    8.437
 97 45  -82583.901   36.348
 97 46  -77793.901  302.194
 97 47# -70794.0    401.0  
 98 37  -54265.836   30.099
 98 38  -66609.841   24.379
 98 39  -72435.819   23.062
 98 40  -81266.057   19.222
 98 41  -83527.306    5.952
 98 42  -88112.870    1.837
 98 43  -86428.851    3.787
 98 44  -88224.588    6.271
 98 45  -83167.210   11.717
 98 46  -81294.613   21.531
 98 47  -72874.613  151.537
 98 48# -67455.0    206.0  
 99 37  -50926.243  114.796
 99 38  -62173.334  123.219
 99 39  -70204.042   24.351
 99 40  -77770.778   20.004
 99 41  -82328.326   13.314
 99 42  -85966.938    1.839
 99 43  -87324.158    1.927
 99 44  -87617.675    2.009
 99 45  -85514.675   10.200
 99 46  -82149.393   17.381
 99 47  -76719.393  151.004
 99 48# -69853.0    205.0  
 99 49# -60910.0    503.0  
100 37# -46696.0    298.0  
100 38  -60220.085  127.215
100 39  -67295.085   78.637
100 40  -76605.085   35.829
100 41  -79940.085   25.666
100 42  -86185.085    5.809
100 43  -86017.235    2.171
100 44  -89219.511    2.010
100 45  -85589.511   20.101
100 46  -85226.566   11.317
100 47  -78153.094   82.850
100 48  -74263.094  108.462
100 49# -63733.0    401.0  
100 50# -56463.0    448.0  
101 37  -43598.261  166.081
101 38  -55408.261  124.430
101 39  -64913.261   95.304
101 40  -73458.261   31.349
101 41  -78943.261   18.915
101 42  -83512.261    5.813
101 43  -86336.746   24.141
101 44  -87950.268    2.040
101 45  -87408.684   17.234
101 46  -85428.684   17.692
